"taxonomy","Keystoneness"
"species15",0.00163098702316519
"species2",0.0008434931646924
"species11",0.000836749431356777
"species13",0.000604753607437907
"species7",0.000573412554931089
"species5",0.000477117755171059
"species1",0.000363935437947724
"species14",0.000289038122533234
"species10",0.000247354990666174
"species9",0.000243842999986357
"species6",0.000100237512922429
"species12",9.75451766671712e-05
"species4",8.68684625253024e-05
"species3",8.23569022846294e-05
"species8",6.5827160732223e-05
